user_id,trace_number,curr_frameset_name,activity_name,question_id,timestamp
812,trace 6,EquivFS,ST_Frameset,0,14:00.9
812,trace 6,EquivFS,Crrct,0,01-02-21 20:14
812,trace 6,EquivFS,Crrct,1,01-02-21 20:15
812,trace 6,EquivFS,Crrct,2,01-02-21 20:16
812,trace 6,EquivFS,X,3,01-02-21 20:22
812,trace 6,EquivFS,X,3,01-02-21 20:22
812,trace 6,EquivFS,Crrct,3,01-02-21 20:22
812,trace 6,EquivFS,Frameset_END_Suc,3,22:30.1
812,trace 7,DFAintroFS,ST_Frameset,0,56:39.9
812,trace 7,DFAintroFS,Crrct,0,03-02-21 17:56
812,trace 7,DFAintroFS,Crrct,1,03-02-21 17:56
812,trace 7,DFAintroFS,Crrct,2,03-02-21 17:56
812,trace 7,DFAintroFS,X,3,03-02-21 17:57
812,trace 7,DFAintroFS,X,3,03-02-21 17:57
812,trace 7,DFAintroFS,X,3,03-02-21 17:57
812,trace 7,DFAintroFS,X,3,03-02-21 17:57
812,trace 7,DFAintroFS,X,3,03-02-21 17:57
812,trace 7,DFAintroFS,X,3,03-02-21 17:57
812,trace 7,DFAintroFS,X,3,03-02-21 17:57
812,trace 7,DFAintroFS,X,3,03-02-21 17:57
812,trace 7,DFAintroFS,X,3,03-02-21 17:57
812,trace 7,DFAintroFS,X,3,03-02-21 17:57
812,trace 7,DFAintroFS,X,3,03-02-21 17:57
812,trace 7,DFAintroFS,X,3,03-02-21 17:57
812,trace 7,DFAintroFS,X,3,03-02-21 17:57
812,trace 7,DFAintroFS,X,3,03-02-21 17:58
812,trace 7,DFAintroFS,X,3,03-02-21 17:58
812,trace 7,DFAintroFS,X,3,03-02-21 17:58
812,trace 7,DFAintroFS,X,3,03-02-21 17:58
812,trace 7,DFAintroFS,X,3,03-02-21 17:58
812,trace 7,DFAintroFS,X,3,03-02-21 17:58
812,trace 7,DFAintroFS,X,3,03-02-21 17:58
812,trace 7,DFAintroFS,X,3,03-02-21 17:58
812,trace 7,DFAintroFS,X,3,03-02-21 17:58
812,trace 7,DFAintroFS,X,3,03-02-21 17:58
812,trace 7,DFAintroFS,X,3,03-02-21 17:58
812,trace 7,DFAintroFS,X,3,03-02-21 17:58
812,trace 7,DFAintroFS,X,3,03-02-21 17:58
812,trace 7,DFAintroFS,X,3,03-02-21 17:58
812,trace 7,DFAintroFS,X,3,03-02-21 17:58
812,trace 7,DFAintroFS,X,3,03-02-21 17:58
812,trace 7,DFAintroFS,X,3,03-02-21 17:58
812,trace 7,DFAintroFS,X,3,03-02-21 17:58
812,trace 7,DFAintroFS,X,3,03-02-21 17:58
812,trace 7,DFAintroFS,X,3,03-02-21 17:58
812,trace 7,DFAintroFS,X,3,03-02-21 17:58
812,trace 7,DFAintroFS,X,3,03-02-21 17:58
812,trace 7,DFAintroFS,X,3,03-02-21 17:58
812,trace 7,DFAintroFS,X,3,03-02-21 17:58
812,trace 7,DFAintroFS,X,3,03-02-21 17:58
812,trace 7,DFAintroFS,X,3,03-02-21 17:58
812,trace 7,DFAintroFS,X,3,03-02-21 17:58
812,trace 7,DFAintroFS,X,3,03-02-21 17:58
812,trace 7,DFAintroFS,X,3,03-02-21 17:58
812,trace 7,DFAintroFS,X,3,03-02-21 18:00
812,trace 7,DFAintroFS,X,3,03-02-21 18:00
812,trace 7,DFAintroFS,X,3,03-02-21 18:00
812,trace 7,DFAintroFS,X,3,03-02-21 18:01
812,trace 7,DFAintroFS,X,3,03-02-21 18:01
812,trace 7,DFAintroFS,X,3,03-02-21 18:01
812,trace 7,DFAintroFS,X,3,03-02-21 18:01
812,trace 7,DFAintroFS,X,3,03-02-21 18:01
812,trace 7,DFAintroFS,X,3,03-02-21 18:01
812,trace 7,DFAintroFS,X,3,03-02-21 18:01
812,trace 7,DFAintroFS,X,3,03-02-21 18:01
812,trace 7,DFAintroFS,X,3,03-02-21 18:01
812,trace 7,DFAintroFS,X,3,03-02-21 18:01
812,trace 7,DFAintroFS,X,3,03-02-21 18:01
812,trace 7,DFAintroFS,X,3,03-02-21 18:01
812,trace 7,DFAintroFS,X,3,03-02-21 18:01
812,trace 7,DFAintroFS,X,3,03-02-21 18:01
812,trace 7,DFAintroFS,X,3,03-02-21 18:01
812,trace 7,DFAintroFS,X,3,03-02-21 18:01
812,trace 7,DFAintroFS,X,3,03-02-21 18:01
812,trace 7,DFAintroFS,X,3,03-02-21 18:01
812,trace 7,DFAintroFS,X,3,03-02-21 18:01
812,trace 7,DFAintroFS,X,3,03-02-21 18:01
812,trace 7,DFAintroFS,X,3,03-02-21 18:01
812,trace 7,DFAintroFS,X,3,03-02-21 18:01
812,trace 7,DFAintroFS,X,3,03-02-21 18:01
812,trace 7,DFAintroFS,X,3,03-02-21 18:01
